Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,Compilation_Source,,UTM_Zone,UTM_Easting,UTM_Northing,Comment,Tectonic_Unit
Location 4,2643,5,5,U/Pb,Peak Metamorphic,"2 fractions, (1 abr), discordant (3% and 6%), age is upper intercept of line projected from Grenvillian lower intercept (set at 1000 Ga). Dates granulite-facies metamorphism.",Monazite,TIMS,Estimate,Grenville Province,QC,47.60008,-77.0997,"Val d'Or area, from a quarry approx. 30 km SE of the front. Coordinates approximated from regional-scale sketch map in report.",Grenville Front Tectonic Zone - unknown,Plutonic,orthopyroxene-bearing pegmatitic patch (meter-wide) in heterogeneous granulite gneiss,"Krogh, T.E., 1994. Precise U-Pb ages for Grenvillian and pre-Grenvillian thrusting of Proterozoic and Archean metamorphic assemblages in the Grenville Front tectonic zone, Canada; Tectonics, v. 13, p. 963-982",GSCdatabase,,,,,,
Location 2a,988,2,2,U/Pb,Metamorphic,"Single monazite grain analysis, slighlty reversely discordant (-0.8%), age is 207Pb/235U age.",Monazite,TIMS,Direct,Grenville Province,ON,46.43337,-80.81653,South of Sudbury. Coordinates approximated from regional-scale sketch map in report.,Grenville Front Tectonic Zone - NE trending mylonite zone,Plutonic,"white pegmatite, cataclastically deformed","Krogh, T.E., 1994. Precise U-Pb ages for Grenvillian and pre-Grenvillian thrusting of Proterozoic and Archean metamorphic assemblages in the Grenville Front tectonic zone, Canada; Tectonics, v. 13, p. 963-982",GSCdatabase,,,,,,
88DUD 01,1442,1.3,1.3,U/Pb,Metamorphic,"2 fractions analyzed, age is 207Pb/206Pb age of older of the two concordant single-grain fractions. Other one has 7/6 age of 1440 ?2 Ma. Zircon also analyzed; discordant, scattered: not resolvable into an age.",Monazite,TIMS,Direct,Grenville Province,ON,46.09579,-81.1176,"Highway 637, 0.9 km E of bridge over Mahzenazing River","Grenville Province - unknown gneiss, hosts Sudbury Dykes",Metamorphic,biotite garnet schist with coarse (>1 cm) garnet porphyroblasts,"Dudas, F.O., Davidson, A. and Bethune, K.M., 1994. Age of the Sudbury diabase dykes and their metamorphism in the Grenville Province, Ontario; Radiogenic Age and Isotopic Studies: Report 8; Geological Survey of Canada Paper 94-F, p. 97-106",GSCdatabase,,,,,,
88DUD 07,1447,1.2,1.2,U/Pb,Metamorphic,"3 fractions analyzed, one is fully concordant at the age (207Pb/206Pb age). Other two, and 4 fractions of zircon, are all discordant, scattered.",Monazite,TIMS,Estimate,Grenville Province,ON,46.13568,-80.99793,Highway 637 between Attlee and Broker lakes,"Grenville Province - unknown gneiss, hosts Sudbury Dykes",Metamorphic,"fine-grained quartzofeldspathic gneiss with garnet, but no biotite","Dudas, F.O., Davidson, A. and Bethune, K.M., 1994. Age of the Sudbury diabase dykes and their metamorphism in the Grenville Province, Ontario; Radiogenic Age and Isotopic Studies: Report 8; Geological Survey of Canada Paper 94-F, p. 97-106",GSCdatabase,,,,,,
RF91-4,1157.5,2.5,2.5,U/Pb,Peak Metamorphic,"3 single-grain fractions of metamorphic monazite, cluster near concordia (partly overlap it and each other). Age is range of 207Pb/206Pb and U-Pb ages.",Monazite,TIMS,Estimate,Grenville Province,QC,46.05561,-74.92186,"At village of .Lac Simon at SE end of Lac des Trois, ontagnes. Coordinates from sketch map. Note that lab records have some distance away from this at 46-09-12N 74-55-20W; report taken as correct.","Mont-Laurier terrane, Central Metasedimentary Belt - Grenville Supergroup",Metamorphic,metapelite: tourmaline-rich garnet-kyanite-sillimanite-biotite K-feldspar aluminous gneiss,"Friedman, R.M. and Martignole, J., 1995. Mesoproterozoic sedimentation, magmatism, and metamorphism in the southern part of the Grenville Province (Western Quebec): U-Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 32, p. 2103-2114",GSCdatabase,,,,,,
1998-JN-2032A,1158.9,2.1,2.1,Pb/Pb,Metamorphic,None,Monazite,TIMS,Direct,Grenville Province,QC,46.83809,-75.48251,None,"[mpro]bet3 | Mesoproterozoique, Suite intrusive de Bethune",Metamorphic,Gneiss: Gneiss monzogranitique,"Davis, D.W., Nantel, S., 2016. Datations U-Pb dans la partie nord de la Ceinture centrale des metasediments, Province de Grenville, region de Mont-Laurier, p. 52",GSCdatabase,,,,,,
VO92-015C,1500,0,0,U/Pb,Metamorphic,"4 fractions (2 are single-grain), variably discordant. Not sufficiently colinear for regression; broadly defined upper and lower intercepts at ca. 1580 and 1000 Ma. The two single-grain analyses provide more better estimate at 1500 to 1020 Ma.",Monazite,TIMS,Estimate,Grenville Province,NL,52.0475,-55.78917,"Pleasure Cove, Labrador. Coordinates approximated from sketch map in report.",Pinware terrane - ?Pitts Harbour Group,Sedimentary,"white-weathering, well-bedded quartzite, from strongly deformed and folded supracrustal package","Wasteneys, H.A., Kamo, S.L., Moser, D., Krogh, T.E., Gower, C.F. and Owen, J.V., 1997. U-Pb geochronological constraints on the geological evolution of the Pinware terrane and adjacent areas, Grenville Province, southeast Labrador, Canada; Precambrian Research, v. 81, p. 101-128",GSCdatabase,,,,,,
VO92-015C,1020,0,0,U/Pb,Metamorphic,"4 fractions (2 are single-grain), variably discordant. Not sufficiently colinear for regression; broadly defined upper and lower intercepts at ca. 1580 and 1000 Ma. The two single-grain analyses provide more better estimate at 1500 to 1020 Ma.",Monazite,TIMS,Estimate,Grenville Province,NL,52.0475,-55.78917,"Pleasure Cove, Labrador. Coordinates approximated from sketch map in report.",Pinware terrane - ?Pitts Harbour Group,Sedimentary,"white-weathering, well-bedded quartzite, from strongly deformed and folded supracrustal package","Wasteneys, H.A., Kamo, S.L., Moser, D., Krogh, T.E., Gower, C.F. and Owen, J.V., 1997. U-Pb geochronological constraints on the geological evolution of the Pinware terrane and adjacent areas, Grenville Province, southeast Labrador, Canada; Precambrian Research, v. 81, p. 101-128",GSCdatabase,,,,,,
CG93-268A,979,201,201,U/Pb,Metamorphic,"1 fraction, concordant, age is 207Pb/206Pb age.",Monazite,TIMS,Estimate,Grenville Province,NL,51.57083,-56.7375,"L'Anse-au-Diable, Labrador. Coordinates approximated from sketch map in report.",Pinware terrane - ?Pitts Harbour Group,Volcanic,banded volcanoclastic (?) rock,"Wasteneys, H.A., Kamo, S.L., Moser, D., Krogh, T.E., Gower, C.F. and Owen, J.V., 1997. U-Pb geochronological constraints on the geological evolution of the Pinware terrane and adjacent areas, Grenville Province, southeast Labrador, Canada; Precambrian Research, v. 81, p. 101-128",GSCdatabase,,,,,,
CG93-027A,982,5,5,U/Pb,Metamorphic,"2 fractions, 1 is concordant with U-Pb ages as given. 207Pb/206Pb age is 985 ?5 Ma.",Monazite,TIMS,Estimate,Grenville Province,NL,51.76528,-56.5875,"Near Country Cat Pond, Labrador. Coordinates approximated from sketch map in report.",Pinware terrane - unknown,Plutonic,gneissic quartz monzonite,"Wasteneys, H.A., Kamo, S.L., Moser, D., Krogh, T.E., Gower, C.F. and Owen, J.V., 1997. U-Pb geochronological constraints on the geological evolution of the Pinware terrane and adjacent areas, Grenville Province, southeast Labrador, Canada; Precambrian Research, v. 81, p. 101-128",GSCdatabase,,,,,,
96-PV-1230,1028,4,4,U/Pb,Metamorphic,207Pb/206Pb age of single monazite,Monazite,TIMS,Direct,Grenville Province,QC,51.26394,-61.39252,"dans la partie nord du Complexe de Boulain, a quelques kilometres au nord du lac Poullet",Complexe de Boulain - Gneiss granitique,Plutonic,"Le Complexe de Boulain comprend un asemblage de gneiss de composition granitique a tonalitique par endroits et dans lesquels sont intercales du granite, du gabbro et de la pegmatitie deformes et metamorphoses","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
AG-98-1331A,1063,2,2,U/Pb,Metamorphic,"Oldest of four single grain monazite analyses; two intermediate ages are 1058 ?2 Ma, and 1054 ?2 Ma",Monazite,TIMS,Direct,Grenville Province,QC,50.6548,-65.29737,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite-graphite,Metamorphic,paragneiss de Biotite-sillimanite-grenat-graphite ; gneissossite (syn-M2) defini par des couches de mobilisate et des lisses de biotite. L'echantillon contient egalement un tissu planaire axial (syn-M3 ?) defini par une deuxieme generation de biotite,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
AG-98-1331A,1047,2,2,U/Pb,Metamorphic,Youngest of for concordant single monazite grains,Monazite,TIMS,Direct,Grenville Province,QC,50.6548,-65.29737,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite-graphite,Metamorphic,paragneiss de Biotite-sillimanite-grenat-graphite ; gneissossite (syn-M2) defini par des couches de mobilisate et des lisses de biotite. L'echantillon contient egalement un tissu planaire axial (syn-M3 ?) defini par une deuxieme generation de biotite,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
AG-99-1311A,1076,4,4,U/Pb,Metamorphic,weighted mean age of three monazite analyse; 0.3 - 0.5% discordant ; single grains,Monazite,TIMS,Direct,Grenville Province,QC,50.85312,-65.9413,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite,Metamorphic,les paragneiss de Biotite-sillimanite-grenat ont ete metamorphose aux facies d'amphibolite mi a superieur.,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
AG-99-1311A,1100,2,2,U/Pb,Metamorphic,Single concordant analysis,monazite,TIMS,Direct,Grenville Province,QC,50.85312,-65.9413,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite,Metamorphic,les paragneiss de Biotite-sillimanite-grenat ont ete metamorphose aux facies d'amphibolite mi a superieur.,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
99-PV-2133A,1008,2,2,U/Pb,Metamorphic,oldest of four single grain monazite grains; two intermediate ages are 1005 Ma and 1000 Ma. Continuous monazite growth is inferred from 1008 Ma to 998 Ma,Monazite,TIMS,Direct,Grenville Province,QC,50.28293,-62.55183,Sur le roadcut en Baie de Pontbriand,Complexe d'Aguanish - Granite porphyrique,Plutonic,"Granit gris feuillete, presque gneissique. Le granit recoupe des sediments du groupe de Wakeham.","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
99-PV-2133A,998,2,2,U/Pb,Metamorphic,Youngest of four monazite ages,Monazite,TIMS,Direct,Grenville Province,QC,50.28293,-62.55183,Sur le roadcut en Baie de Pontbriand,Complexe d'Aguanish - Granite porphyrique,Plutonic,"Granit gris feuillete, presque gneissique. Le granit recoupe des sediments du groupe de Wakeham.","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
95-120,1004,2,2,U/Pb,Metamorphic,"2 fractions, slightly reversely discordant. Monazites have overgrowths indicating metamorphic origin. Age is 207Pb/206Pb age of the younger fraction (-0.6% discordant). Other fraction is 1027 ?1 Ma. ""maximum estimate"".",Monazite,TIMS,Maximum Estimate,Grenville Province,NL,50.06167,-56.93667,Immediately downstream from the Cat Arm dam. Coordinates approximated from sketch map in report relative to online digital mapping of NGS.,"Long Range inlier (Grenvillian), in Humber Zone - Cat Arm Road gneiss",Plutonic,foliated medium-grained gray granite,"Heaman, L.M., Erdmer, P. and Owen, J.V., 2002. U-Pb geochronologic constraints on the crustal evolution of the Long Range Inlier, Newfoundland; Canadian Journal of Earth Sciences, v. 39, p. 845-865",GSCdatabase,,,,,,
CG(84)-495,1030,2,2,U/Pb,Metamorphic,"Single near concordant fraction, age is 207Pb/206Pb age. %discordance not reported; ellipse touches concordia. Colinear with 2 discordant titanites which suffered post-xtall'n Pb-loss.","Monazite, Titanite",TIMS,Direct,Grenville Province,NL,53.21145,-57.76266,"41 km southwest of Paradise River settlement, 1 km northwest of the informally named Second Choice Lake, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Mealy Mountains terrane - unknown,Metamorphic,migmatitic orthogneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-451",GSCdatabase,,,,,,
F-3,1004,3,3,U/Pb,Metamorphic,"2 fractions each of monazite and xenotime, reversely discordant to discordant, 3 are colinear (incl. the 2 rev. discordant analyses). Age is upper intercept of regression using these 3 (MSWD not reported).","Monazite, Xenotime",TIMS,Estimate,Grenville Province,QC,47.42425,-77.04998,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-1065",GSCdatabase,,,,,,
G0-12,1148,6,6,Ar/Ar,Metamorphic,"Spectra disturbed (steps up), age is oldest apparent age at high temp (12% gas release). Reported as 1143 Ma to flux monitor MMhb-1=520.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Error doubled (reported to only 1-sigma in paper).",Muscovite,Ar Furnace-Step,Maximum Estimate,Grenville Province,ON,44.96673,-78.24977,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-225",GSCdatabase,,,,,,
Cabonga,875,30,30,K/Ar,Metamorphic,"Reported as 848 Ma to non-Old Western (modified) decay constants; recalculated to 1977 (IUGS) decay constants. Muscovite sheaths corundum, suggesting it is crystallizing late-stage (hence its younger age is not deemed problematic)",Muscovite,Ar Furnace-Fusion,Direct,Grenville Province,QC,47.15007,-76.49968,Cabonga area. Coordinates approximate.,Autochthonous polycyclic belt - Cabonga syenite,Plutonic,"nepheline gneiss from small lenticular body: composed of nepheline, plagioclase, biotite, corundum and muscovite","MacIntyre, R.M., York, D. and Gittins, J., 1969. The K-Ar characteristics of nepheline; Earth and Planetary Science Letters, v. 7, p. 125-131",GSCdatabase,,,,,,
MR86-8B,909,6,6,Ar/Ar,Metamorphic,"Plateau age, 95.2% gas release. Reported as 903 Ma to flux monitor MMhb-1=519.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Total gas age = 907 Ma (recalc'd)",Muscovite,Ar Furnace-Fusion,Direct,Grenville Province,ON,46.35838,-79.41648,North Bay. Location approximate.,"Central Gneiss Belt, Ottawa-Bonnechere graben - unknown",Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977",GSCdatabase,,,,,,
PSA-1,903,8,8,Ar/Ar,Metamorphic,"Plateau age, 62.1% gas release. Reported as 897 Ma to flux monitor MMhb-1=519.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Total gas age also = 903 Ma (recalc'd)",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.43755,-80.02483,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977",GSCdatabase,,,,,,
PS86B-9,900,6,6,Ar/Ar,Metamorphic,"Plateau age, 91.2% gas release. Reported as 894 Ma to flux monitor MMhb-1=519.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Total gas age = 898 Ma (recalc'd)",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.47505,-80.00261,Location approximate.,Central Gneiss Belt - unknown,Plutonic,anorthosite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977",GSCdatabase,,,,,,
PS86B-14B,895,6,6,Ar/Ar,Metamorphic,"Plateau age, 75.8% gas release. Reported as 899 Ma to flux monitor MMhb-1=519.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Total gas age also = 895 Ma (recalc'd)",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.37505,-80.0665,Location approximate.,Central Gneiss Belt - unknown,Plutonic,pegmatite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977",GSCdatabase,,,,,,
PS86B-16C,909,6,6,Ar/Ar,Metamorphic,"Plateau age, 95.4% gas release. Reported as 903 Ma to flux monitor MMhb-1=519.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Total gas age = 905 Ma (recalc'd)",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.39172,-80.0665,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977",GSCdatabase,,,,,,
PSI86-1,915,6,6,Ar/Ar,Metamorphic,"Plateau age, 76.5% gas release. Reported as 909 Ma to flux monitor MMhb-1=519.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Total gas age = 913 Ma (recalc'd)",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.30838,-80.12484,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977",GSCdatabase,,,,,,
G0-12,1102,4,4,Ar/Ar,Metamorphic,"Spectra disturbed (steps up), age is youngest apparent age at mid temp (48% gas release). Reported as 1097 Ma to flux monitor MMhb-1=520.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Error doubled (reported to only 1-sigma in paper).",Muscovite,Ar Furnace-Step,Minimum Estimate,Grenville Province,ON,44.96673,-78.24977,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-225",GSCdatabase,,,,,,
LVT130,897,2,2,Ar/Ar,Metamorphic,"Plateau age, ~85% gas release. Reported as 893 Ma to flux monitor MMhb-1=520.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Error doubled (reported to only 1-sigma in paper). Age from Busch etal 1996 (Tectonics)",Muscovite,Laser-Step,Direct,Grenville Province,ON,45.05876,-76.75339,no description given,Mazinaw terrane - unknown,Metamorphic,biotite muscovite quartz plagioclase sillimanite schist,"Busch, J.A. and van der Pluijm, B.A., 1996. Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: implications for the style of deep-crustal extension in the Grenville orogen, Canada; Precambrian Research, v. 77, p. 41-57 OR/OU Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-402",GSCdatabase,,,,,,
HL86-5,903,6,6,Ar/Ar,Metamorphic,"Plateau age, 88.6% gas release. Reported as 897 Ma to flux monitor MMhb-1=519.4 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998). Total gas age = 902 Ma (recalc'd)",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,44.54173,-77.3164,Location approximate,"Central Metasedimentary Belt, Elzevir terrane - unknown",Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977",GSCdatabase,,,,,,
GFTZ 1a,908,9,9,Ar/Ar,Metamorphic,"Plateau age, ~85% gas release. 1 step within plateau portion lost. Reported as 903 Ma to flux monitor MMhb-1=520 Ma; recalculated to flux monitor MMhb-1=523.1 (Renne et al, 1998).",Muscovite,Ar Furnace-Step,Estimate,Grenville Province,ON,45.87504,-80.68319,"N shore of Georgian Bay, approx. 85 km NW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-221",GSCdatabase,,,,,,
GFTZ 40,909,8,8,Ar/Ar,Metamorphic,"Plateau age, ~90% gas release. Reported as 904 Ma to flux monitor MMhb-1=520 Ma; recalculated to flux monitor MMhb-1=523.1 (Renne et al, 1998).",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.77504,-80.66653,"N shore of Georgian Bay, approx. 70 km NW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-221",GSCdatabase,,,,,,
GFTZ 50,909,6,6,Ar/Ar,Metamorphic,"Plateau age, ~95% gas release. Reported as 904 Ma to flux monitor MMhb-1=520 Ma; recalculated to flux monitor MMhb-1=523.1 (Renne et al, 1998).",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.66672,-80.60403,"N shore of Georgian Bay, approx. 25 km WNW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-221",GSCdatabase,,,,,,
GFTZ 60,904,6,6,Ar/Ar,Metamorphic,"Plateau age, ~85% gas release. Reported as 899 Ma to flux monitor MMhb-1=520 Ma; recalculated to flux monitor MMhb-1=523.1 (Renne et al, 1998).",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.67505,-80.45818,"Highway 69, approx. 13 km NW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-221",GSCdatabase,,,,,,
GFTZ 70,901,6,6,Ar/Ar,Metamorphic,"Plateau age, ~95% gas release. Reported as 896 Ma to flux monitor MMhb-1=520 Ma; recalculated to flux monitor MMhb-1=523.1 (Renne et al, 1998).",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.56672,-80.46652,"Shore, approx. 5 km WSW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-221",GSCdatabase,,,,,,
GFTZ 10,893,8,8,Ar/Ar,Metamorphic,"Plateau age, ~75% gas release. Reported as 888 Ma to flux monitor MMhb-1=520 Ma; recalculated to flux monitor MMhb-1=523.1 (Renne et al, 1998).",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.45838,-80.31652,Approx. 16 km SSE of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate),Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-221",GSCdatabase,,,,,,
GFTZ 11,904,6,6,Ar/Ar,Metamorphic,"Plateau age, ~95% gas release. Reported as 899 Ma to flux monitor MMhb-1=520 Ma; recalculated to flux monitor MMhb-1=523.1 (Renne et al, 1998).",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.41672,-80.20817,"On road at N shore of Parry Sound, approx. 14 km 14 km NW of town of Parry Sound. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-221",GSCdatabase,,,,,,
